"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"ABW";"Aruba";"2020";"4787.77";"10604.49";"14391.96";"17960.31";"22336.82";"27138.93";"33485.58";"43206.32";"61355.82";"144553.89"
"AFG";"Afghanistan";"2020";"378.99";"657.31";"842.86";"1010.64";"1178.43";"1397.53";"1778.5";"2301.59";"3270.78";"6888.97"
"AGO";"Angola";"2020";"152.35";"718.64";"1303.3";"1875.77";"2630.95";"3453.12";"4610.26";"6376.4";"9506.75";"30475.19"
"AIA";"Anguilla";"2020";"3305.56";"7321.52";"9936.45";"12400.1";"15421.71";"18737.17";"23119.0";"29830.37";"42361.08";"99802.42"
"ALB";"Albania";"2020";"2992.59";"5391.94";"7171.67";"8740.48";"10282.91";"11930.82";"14066.5";"16755.88";"21053.61";"33538.12"
"AND";"Andorra";"2020";"14797.78";"20928.29";"25071.67";"28876.81";"32766.51";"37374.96";"43251.8";"51580.83";"64095.52";"104387.76"
"ARE";"United Arab Emirates";"2020";"25197.7";"33171.61";"40068.03";"46967.58";"54183.62";"61906.06";"70514.67";"80642.45";"93998.46";"126344.06"
"ARG";"Argentina";"2020";"3751.51";"7893.16";"9667.56";"11443.23";"13416.2";"15981.06";"19335.11";"23478.35";"31962.12";"59978.31"
"ARM";"Armenia";"2020";"4339.87";"6395.6";"7677.26";"8946.23";"10265.96";"11649.13";"13273.41";"15392.59";"18907.63";"29351.24"
"ATG";"Antigua and Barbuda";"2020";"2179.87";"4828.23";"6552.66";"8177.34";"10169.96";"12356.36";"15245.99";"19671.85";"27935.32";"65815.43"
"AUS";"Australia";"2020";"12815.56";"22302.74";"27411.98";"31794.01";"36760.3";"42943.82";"50003.74";"59254.68";"73715.35";"129902.62"
"AUT";"Austria";"2020";"14636.07";"26037.21";"31841.63";"36716.41";"42369.08";"48281.04";"55645.07";"64150.0";"77685.29";"121195.28"
"AZE";"Azerbaijan";"2020";"7632.32";"9333.77";"10321.37";"11186.06";"12119.38";"13107.59";"14260.51";"15770.29";"18117.3";"25419.12"
"BDI";"Burundi";"2020";"99.46";"171.14";"239.15";"307.17";"376.65";"464.41";"592.4";"783.28";"1123.36";"3153.61"
"BEL";"Belgium";"2020";"17208.83";"26460.34";"32401.23";"36981.3";"41610.06";"45849.05";"51013.79";"58273.6";"69869.78";"107533.15"
"BEN";"Benin";"2020";"450.38";"804.01";"1107.6";"1387.84";"1751.48";"2158.49";"2702.29";"3549.67";"5110.99";"14208.69"
"BFA";"Burkina Faso";"2020";"105.74";"140.27";"196.32";"293.36";"422.73";"629.71";"1041.5";"1852.13";"3544.51";"13331.43"
"BGD";"Bangladesh";"2020";"585.33";"1414.56";"1926.73";"2414.5";"2946.18";"3551.03";"4350.99";"5380.2";"7282.54";"18862.4"
